RelationshipType,Source,Target
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-client-linux-386-kubernetes-client-bin-kubectl
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm-kubernetes-server-bin-kube-log-runner
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-kube-scheduler
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-kubelet
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-kubelet
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-client-linux-386-kubernetes-client-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-node-linux-ppc64le.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-server-linux-s390x.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-mounter
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-client-windows-arm64-kubernetes-client-bin-kubectl-convert.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-server-linux-amd64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-kubeadm
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubelet
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-node-windows-amd64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-kube-log-runner
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm-kubernetes-server-bin-kube-aggregator
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-scheduler
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-server-linux-arm64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-server-linux-ppc64le.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-apiextensions-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-kube-proxy
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-client-windows-amd64-kubernetes-client-bin-kubectl-convert.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-test-portable.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-apiextensions-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-kube-log-runner
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-client-windows-amd64-kubernetes-client-bin-kubectl.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubeadm
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-kube-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-test-linux-s390x.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-ppc64le-kubernetes-server-bin-mounter
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-apiextensions-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-client-windows-amd64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-test-darwin-arm64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-test-linux-arm64.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm-kubernetes-server-bin-kube-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm-kubernetes-server-bin-kube-proxy
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-client-linux-ppc64le.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-client-linux-s390x.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-kubeadm
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-kubeadm
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-node-windows-amd64-kubernetes-node-bin-kube-proxy.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes-node-linux-arm.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-tars-kubernetes.tar.gz
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-kube-proxy
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-kube-apiserver
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-kube-controller-manager
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-mounter
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-mounter
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-node-windows-amd64-kubernetes-node-bin-kubectl-convert.exe
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm-kubernetes-server-bin-mounter
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm64-kubernetes-server-bin-kube-proxy
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-client-darwin-arm64-kubernetes-client-bin-kubectl-convert
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-amd64-kubernetes-server-bin-kube-scheduler
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-arm-kubernetes-server-bin-kubeadm
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-server-linux-s390x-kubernetes-server-bin-kube-controller-manager
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-File-workspace-src-k8s.io-kubernetes-C95output-v1.25.11-release-stage-node-windows-amd64-kubernetes-node-bin-kubelet.exe
